,Alternate Names,Population,cost,Province,city,latitude,longitude
89,None,9250.0,908.68,Noord-Holland,Kudelstaart,52.23417,4.75139
90,None,None,909.43,Noord-Holland,Nieuw-Vennep,52.26475,4.63356
91,"Breda,Breda khot,Brehda,Brenta,Brigita,Bréda,GLZ,be rda,beuleda,brda,brdh,breda,bryda,bu lei da,bureda,Μπρέντα,Бреда,Бреда хот,Брэда,Բրեդա,ברדה,بردا,بريدا,بریڈا,เบรดา,ბრედა,ブレダ,布雷达,브레다",167673.0,909.8,Noord-Brabant,Breda,51.58656,4.77596
92,"Roosendaal,Rosendael,Rozendael,Rozendal,Rozendal',ZYO,losendal,luo sen da er,ro sen dal,rozendaru,rwsyndal,Розендал,Розендаль,روزن‌دال,روسيندال,โรเซนดาล,ローゼンダール,罗森达尔,로센달",77725.0,909.93,Noord-Brabant,Roosendaal,51.53083,4.46528
93,'s Gravemoer,2315.0,910.16,Noord-Brabant,'s Gravenmoer,51.65594,4.94076
94,"Mijdrecht,Mudrecht,Müdrecht",15230.0,910.19,Utrecht,Mijdrecht,52.20667,4.8625
95,None,None,910.32,Utrecht,De Meern,52.08118,5.03636
96,None,4600.0,910.42,Noord-Brabant,Wouw,51.52167,4.39028
97,Hillegom,18419.0,910.45,Zuid-Holland,Hillegom,52.29083,4.58333
98,None,5715.0,910.48,Utrecht,Wilnis,52.19667,4.89722
99,None,None,910.64,Gelderland,Poederoijen,51.78743,5.07984
100,"Aalsmeer,Alsmer,QFA,a er si mei er,Алсмер,阿尔斯梅尔",22991.0,910.61,Noord-Holland,Aalsmeer,52.25917,4.75972
101,"Nieuwegein,Nieuwegen",61489.0,910.81,Utrecht,Nieuwegein,52.02917,5.08056
102,"Authorn,Ehjtkhorn,Uithoorn,Uthoarn,ao te huo lun,awthwrn,Эйтхорн,Աուտհորն,آوتهورن,奥特霍伦",26846.0,910.78,Noord-Holland,Uithoorn,52.2375,4.82639
103,None,1965.0,910.84,Noord-Brabant,Dorst,51.59,4.85694
104,None,None,910.9,Zuid-Holland,De Zilk,52.30237,4.54319
105,None,9850.0,910.97,Noord-Brabant,Halsteren,51.52834,4.26785
106,"Dongen,dwnjn,Донген,Դոնգեն,دونجن",25464.0,911.0,Noord-Brabant,Dongen,51.62667,4.93889
107,"Tholen,Tole,Tolen,Толен",7475.0,911.07,Zeeland,Tholen,51.53167,4.22083
108,None,5360.0,911.1,Noord-Brabant,Bavel,51.56583,4.83056
109,Ulvenhout,4520.0,911.2,Noord-Brabant,Ulvenhout,51.54907,4.79931
110,None,4140.0,911.3,Noord-Brabant,Rijsbergen,51.5175,4.69722
111,None,None,911.39,Noord-Brabant,Sprang-Capelle,51.67053,5.0253
112,"Hoofddorp,QHZ",132734.0,911.52,Noord-Holland,Hoofddorp,52.3025,4.68889
113,None,2340.0,911.59,Utrecht,Vinkeveen,52.21507,4.93372
114,None,None,911.62,Noord-Brabant,Molenschot,51.57321,4.88246
115,"Maarsen,marsyn,مارسین",39675.0,911.65,Utrecht,Maarssen,52.13917,5.04167
116,Reijen,16230.0,911.68,Noord-Brabant,Rijen,51.59083,4.91944
117,"beuloekeolleon,ბროიკელენი,브뢰컬런",14498.0,911.72,Utrecht,Breukelen,52.17417,5.00139
118,Bennebroek,5140.0,911.75,Noord-Holland,Bennebroek,52.32083,4.59861
119,None,1200.0,912.04,Utrecht,Everdingen,51.965,5.15556
120,"Bergen op Zoom,Bergen-op-Zom,WOE,Берген-оп-Зом",66256.0,912.14,Noord-Brabant,Bergen op Zoom,51.495,4.29167
121,Waalwijk,45610.0,912.27,Noord-Brabant,Waalwijk,51.6825,5.07083
122,None,None,912.37,Noord-Brabant,Kaatsheuvel,51.6667,5.0667
123,"Gemeente Utrecht,Magaalada Utrecht,Outrechte,Owtrext,Traiectum ad Rhenum,UTC,Utert,Utrech,Utrecht,Utrechtas,Utrehkht,Utreht,Utrehta,Utrehto,Utrei,Utrekht,Utrekht khot,Utreque,Utrext,Utreĥto,awtrkht,utrekhta,witeuleheuteu,wu de lei zhi,yu the rkt,yutorehito,ywtrkht,ywtrykht,Ουτρέχτη,Утрехт,Утрехт хот,Утрэхт,Ուտրեխտ,אוטרכט,أوترخت,اوترخت,یوترخت,یوتریخت,ܐܘܛܪܝܟܛ,उट्रेख्त,ยูเทรกต์,ယူးထရက်မြို့,უტრეხტი,ユトレヒト,乌得勒支,烏德勒支,위트레흐트",290529.0,912.4,Utrecht,Utrecht,52.09083,5.12222
124,"Hauten,hao teng,hauten,hauteon,hawtn,hwtn,Հաուտեն,هاوتن,هوتن,ハウテン,豪滕,하우턴",1335.0,912.84,Utrecht,Houten,52.02833,5.16806
125,"Gemstede,Heemstede,Hemstede,Hemstedė,Heymsteyde,Hiemstee,Khemstede,hai mu si tai de,heimseutedeo,hemusutede,hymstydh,Гемстеде,Хемстеде,Հեյմստեյդե,هيمستيده,ヘームステーデ,海姆斯泰德,헤임스테더",25562.0,913.5,Noord-Holland,Heemstede,52.34992,4.62301
126,None,None,913.39,Utrecht,Loenen aan de Vecht,52.20983,5.02156
127,"Amstelveen,Amstelven,Amstelveyn,Amstelvin,Nieuwer Amstel,a mu si te er fen,amseutelbein,amusuterufen,Амстелвен,Амстелвин,Ամստելվեյն,אמסטלפיין,آمستل‌فین,アムステルフェーン,阿姆斯特尔芬,암스텔베인",79639.0,913.83,Noord-Holland,Amstelveen,52.30083,4.86389
128,None,None,918.99,Noord-Holland,Aerdenhout,52.36299,4.59091
129,None,None,929.48,Noord-Holland,Bentveld,52.36577,4.57056
130,None,1010.0,934.69,Utrecht,Baambrugge,52.24583,4.98889
131,None,6300.0,950.34,Noord-Brabant,Gilze,51.54417,4.94028
132,"Landvoort,Zandvoort,Зандвоорт",16868.0,965.99,Noord-Holland,Zandvoort,52.37125,4.53306
133,"Loon op Zand,Venloen op Zand",23000.0,822.94,Noord-Brabant,Venlo,51.6275,5.075
134,"Culemborg,Culembourg,Kuilenburg,Kulemborg,Kulemborx,kwlmbwrkh,qu lun bo he,Кулемборг,Կուլեմբորխ,كولمبورخ,屈伦博赫",26826.0,841.73,Gelderland,Culemborg,51.955,5.22778
135,"Auderkerk kaj Amstel,Ouder Amstel,Ouderkerk,Ouderkerk Aan Den Amstel,Ouderkerk a/d Amstel,Ouderkerk aan de Amstel,Ouderkerk-sur-lAmstel,Аудеркерк кај Амстел",7955.0,847.99,Noord-Holland,Ouderkerk aan de Amstel,52.29504,4.90746
136,None,1373.0,864.69,Utrecht,Vreeland,52.2297,5.0311
137,None,None,868.86,Noord-Holland,Badhoevedorp,52.33888,4.78447
138,"Abcoude,Abkoude,a bu kao de,abkad,abkawdh,أبكاوده,ابکاد,阿布考德",6920.0,885.56,Utrecht,Abcoude,52.2725,4.96944
139,"De Bilt,Nte Bilt,dy bylt,Ντε Μπιλτ,Դե Բիլտ,دي بيلت",8945.0,904.35,Utrecht,De Bilt,52.11,5.18056
140,None,None,910.61,Noord-Holland,Loosdrecht,52.2026,5.09056
141,"Chaarlem,Garlem,Haarlem,Haarlemo,Haarlim,Harlem,Harlema,Harlemas,Harlemum,Hārlema,Khaarlem,Kharlem,ha lei mu,haarlemi,haleulleom,harlm,haruremu,Χάαρλεμ,Гарлем,Хаарлем,Харлем,Հարլեմ,הארלם,هارلم,ہارلم,ܗܐܪܠܡ,ჰაარლემი,ハールレム,哈勒姆,하를럼",147590.0,916.87,Noord-Holland,Haarlem,52.38084,4.63683
142,"Vonsdrekht,Woensdrecht,Вонсдрехт",1340.0,886.21,Noord-Brabant,Woensdrecht,51.42897,4.30355
143,None,5810.0,864.31,Noord-Brabant,Hoogerheide,51.42417,4.325
144,Colijnsplaat,1485.0,846.8,Zeeland,Colijnsplaat,51.59917,3.84861
145,None,5241.0,839.5,Noord-Holland,Nederhorst den Berg,52.2567,5.0458
146,None,None,824.9,Utrecht,Bilthoven,52.1283,5.1986
147,"Seist,Zajst,Zeist,Zejst,Zeyst,jeiseuteu,zai si te,zaisuto,zayst,Зајст,Зейст,Զեյստ,زايست,زایست,ザイスト,宰斯特,제이스트",60949.0,807.38,Utrecht,Zeist,52.09,5.23333
148,Bloemendaal,3905.0,779.58,Noord-Holland,Bloemendaal,52.4025,4.62222
149,None,15899.0,839.93,Noord-Brabant,Vlijmen,51.6953,5.2119
150,None,2350.0,777.59,Noord-Holland,Halfweg,52.3825,4.75417
151,Amsterdam-Duivendrecht,4720.0,926.73,Noord-Holland,Amsterdam,52.32941,4.93964
152,None,None,872.31,Noord-Holland,'s-Graveland,52.23832,5.12172
153,None,18553.0,867.36,Utrecht,Driebergen-Rijsenburg,52.05333,5.28056
154,"Cilburg,Tilburch,Tilburg,Tilburga,Tilburgas,Tilburgo,Tilia,di er bao,thi lburk,tilbwileuheu,tiruburufu,tylbwrkh,Тилбург,Тілбург,Цілбург,تیلبورخ,ٹلبرگ,ทิลบืร์ก,ტილბურგი,ティルブルフ,蒂尔堡,틸뷔르흐",199613.0,862.41,Noord-Brabant,Tilburg,51.55551,5.0913
155,"Diemen,Diemerbrug,Dijmen,Dimen,dymyn,Диймен,Димен,Դիմեն,ديمين",24361.0,897.04,Noord-Holland,Diemen,52.33964,4.96256
156,"Vesp,Veysp,Weesp,fysb,wei si pu,Весп,Վեյսպ,فيسب,韋斯普",17802.0,921.78,Noord-Holland,Weesp,52.3075,5.04167
157,"Goirl,Goirle,Goorle,Gorle,Xorle,khwrla,Гоирл,Горле,Խորլե,خورلا",22646.0,925.0,Noord-Brabant,Goirle,51.52083,5.06667
158,None,None,922.4,Noord-Holland,Santpoort-Noord,52.43388,4.63255
159,"Hilfertsom,Hilversum,Hilvertsheim,Khilversjum,Khilversum,QYI,hylfrswm,xi er fu se mu,Хилверсум,Хилверсюм,Հիլվերսում,هيلفرسوم,هیلفرسوم,希爾弗瑟姆",83640.0,921.53,Noord-Holland,Hilversum,52.22333,5.17639
160,"Chous,Goes,Gus,Gusas,hu si,khws,Χους,Гус,خوس,胡斯",36931.0,911.13,Zeeland,Goes,51.50417,3.88889
161,"Oisterwijk,Ojstervejk,Oosterwijk,Ойстервейк",25980.0,895.53,Noord-Brabant,Oisterwijk,51.57917,5.18889
162,"Doorn,Dorn,Доорн,Дорн",10330.0,890.33,Utrecht,Doorn,52.03343,5.34571
163,"'s Bosch,'s-Hertogenbosch,Bois-le-Duc,Bolduque,Boscoducale,De Bosk,Den Bosch,Hertogenbosch,Herzogenbusch,Khertogenbos,Oeteldonk,Silva Ducis,Хертогенбос,’s-Hertogenbosch",134520.0,886.86,Noord-Brabant,'s-Hertogenbosch,51.69917,5.30417
164,"Bjussjum,Bussum,Busum,bu sen,bwswm,Бюссюм,Բուսում,بوسوم,布森",31334.0,891.31,Noord-Holland,Bussum,52.27333,5.16111
165,None,6223.0,892.8,Noord-Holland,Muiden,52.33,5.06944
166,"Ehjmjojden,IJmond,Imuiden,Ymuiden,Ĳmuiden,Эймёйден",31925.0,894.28,Noord-Holland,IJmuiden,52.4603,4.61048
167,"Vjugt,Vuxt,fwkht,Вюгт,Վուխտ,فوخت",25043.0,897.25,Noord-Brabant,Vught,51.65333,5.2875
168,None,5835.0,898.73,Noord-Brabant,Moergestel,51.55,5.1833
169,None,1425.0,900.22,Gelderland,Ophemert,51.845,5.3875
170,"Sust,Zoest,swst,Зоест,Суст,Սուստ,سوست",45021.0,901.7,Utrecht,Soest,52.17333,5.29167
171,"Zaandam,Zandam,Zandamas,jandam,zan dan,zan dm,zandamu,Заандам,Зандам,Զանդամ,زان دم,ザーンダム,赞丹,잔담",71708.0,904.67,Noord-Holland,Zaandam,52.43854,4.82643
172,Naarden,17115.0,907.63,Noord-Holland,Naarden,52.29583,5.1625
173,None,None,913.57,Noord-Holland,Velsen-Noord,52.47464,4.63665
174,None,1605.0,915.05,Noord-Holland,Muiderberg,52.32583,5.12083
175,"Laren,la lun,laryn,raren,Ларен,Լարեն,لارين,لارین,ラーレン,拉倫",11508.0,918.02,Noord-Holland,Laren,52.25667,5.22778
176,None,31219.0,920.25,Noord-Brabant,Rosmalen,51.7167,5.3667
177,None,8335.0,923.22,Noord-Holland,Assendelft,52.4667,4.75
178,"Baan,Baarn,Barn,baleun,barn,barun,Баан,Барн,Բարն,بارن,バールン,바른",24584.0,925.44,Utrecht,Baarn,52.21167,5.2875
179,"Berverwyk,Bevervejk,Beverwijk,Beverwyk,Beyverveyk,byfyrfayk,Бевервейк,Բեյվերվեյկ,بيفيرفايك",37585.0,928.41,Noord-Holland,Beverwijk,52.48333,4.65694
180,"Landsmeer,Landsmer,Landsmeyr,Lansmar,Lânsmar,landsmyr,Ландсмер,Լանդսմեյր,لاندسمير,لانڈسمیر",1800.0,934.34,Noord-Holland,Landsmeer,52.43083,4.91528
181,None,2095.0,937.31,Noord-Holland,Wijk aan Zee,52.4936,4.59409
182,None,None,938.8,Noord-Holland,Koog aan de Zaan,52.46205,4.80714
183,None,9113.0,940.28,Utrecht,Eemnes,52.2539,5.2572
184,None,None,941.76,Zeeland,Heinkenszand,51.473,3.8128
185,"Blaricum,Blarikjum,Blarikum,blarykwm,bu la li ke mu,Бларикюм,Բլարիկում,بلاريكوم,布拉里克姆",5060.0,943.25,Noord-Holland,Blaricum,52.2725,5.24167
186,"zan dai ke,zand jk,زاند جک,赞代克",9040.0,947.7,Noord-Holland,Zaandijk,52.47494,4.80686
187,"Lit,Lith",2895.0,949.18,Noord-Brabant,Lith,51.80583,5.43889
188,None,None,961.05,Zeeland,Kloosterzande,51.36756,4.01051
189,Huizen,45292.0,965.51,Noord-Holland,Huizen,52.29917,5.24167
190,"Amersfoort,Amersfort,Amersforto,QYM,Амерсфорт",139914.0,966.99,Utrecht,Amersfoort,52.155,5.3875
191,None,None,963.06,Noord-Holland,Krommenie,52.49546,4.76649
192,"Bokstel,Boxtel,bwkstl,Бокстел,Բոքստել,بوكستل",29511.0,943.41,Noord-Brabant,Boxtel,51.59083,5.32917
193,Berlikum,4250.0,939.48,Noord-Brabant,Berlicum,51.6775,5.4
194,None,None,927.69,Noord-Holland,Wormerveer,52.49522,4.78766
195,None,11470.0,915.9,Noord-Holland,Wormer,52.4972,4.8089
196,None,None,900.17,Zeeland,'s-Heerenhoek,51.45361,3.76904
197,None,None,896.24,Utrecht,Eemdijk,52.25391,5.32928
198,"Hamersveld,Leusden,Leusden-Centrum,Леусден",29215.0,892.31,Utrecht,Leusden,52.1325,5.43194
199,None,1001.0,888.38,Noord-Holland,Jisp,52.5,4.8333
200,"Autxeyst,Ehjtgest,Uitgeest,Utgeast,awtkhyst,Эйтгест,Աուտխեյստ,آوتخيست",11794.0,876.59,Noord-Holland,Uitgeest,52.52917,4.70972
201,"Erremu,a ne mo yi deng,阿訥默伊登",5075.0,872.66,Zeeland,Arnemuiden,51.50167,3.675
202,None,2433.0,868.73,Utrecht,Stoutenburg,52.1539,5.4325
203,None,3470.0,856.94,Gelderland,Lienden,51.94833,5.51806
